Municipio,Cod_Municipio,Provincia,Cod_Provincia,Población,Longitud,Latitud,CoordenadaX,CoordenadaY,Posición,presencia_de_comercio,Tiene_Hospital,Transplantes,Dificultad_Acceso,Accidentes_Raw,Accidentes_Por_Carretera,tiene_centro,DENSIDADMM,4G
VILLAESCUSA DE ROA,428,BURGOS,9,90,-4.017407,41.727242,415381.38,4619993.05,"41.727242, -4.017407",0,0,0,0.25,0.4078167115902965,0.0012,1,0.001490500168,1.0
VILLAHOZ,437,BURGOS,9,287,-3.914042,42.077121,424392.35,4658743.12,"42.077121, -3.914042",0,0,0,0.16,3.9078167115903,0.0118,1,0.001621710546,1.0
VILLALBA DE DUERO,438,BURGOS,9,706,-3.743865,41.682696,438089.61,4614814.51,"41.682696, -3.743865",0,0,0,0.25,0.4078167115902965,0.0012,1,0.01388401408,1.0
VILLAMAYOR DE TREVIÑO,444,BURGOS,9,56,-4.119665,42.459856,407942.13,4701442.85,"42.459856, -4.119665",0,0,0,0.16,0.4078167115902965,0.0012,1,0.0008005711365,1.0
VILLANUEVA DE CARAZO,450,BURGOS,9,27,-3.324519,41.983698,473117.22,4648017.11,"41.983698, -3.324519",0,0,0,0.2,0.4078167115902965,0.0012,1,0.0009408458222,1.0
VILLANUEVA DE TEBA,454,BURGOS,9,42,-3.16417,42.649823,486543.04,4721942.47,"42.649823, -3.16417",0,0,0,0.21,0.4078167115902965,0.0012,1,0.001865296641,1.0
VILLARCAYO DE MERINDAD DE CASTILLA LA VIEJA,903,BURGOS,9,4047,-3.57246,42.938486,453293.18,4754142.79,"42.938486, -3.57246",0,0,0,0.87,0.4078167115902965,0.0012,0,0.00723574926,0.9928
VILLAYERNO MORQUILLAS,471,BURGOS,9,205,-3.639004,42.39598,447408.46,4693940.66,"42.39598, -3.639004",0,0,0,0.09,0.4078167115902965,0.0012,1,0.005514788467,1.0
VILLAZOPEQUE,472,BURGOS,9,52,-4.017545,42.199186,415992.23,4672393.13,"42.199186, -4.017545",0,0,0,0.15,0.4078167115902965,0.0012,1,0.001153598062,1.0
VILLEGAS,473,BURGOS,9,79,-4.01703,42.468468,416392.23,4702292.91,"42.468468, -4.01703",0,0,0,0.14,0.4078167115902965,0.0012,1,0.0008744429425,1.0
ZARZOSA DE RÍO PISUERGA,482,BURGOS,9,31,-4.26807,42.536209,395867.01,4710092.81,"42.536209, -4.26807",0,0,0,0.2,0.4078167115902965,0.0012,1,0.0007237389587,1.0
ZAZUAR,483,BURGOS,9,209,-3.555287,41.695618,453793.89,4616130.86,"41.695618, -3.555287",0,0,0,0.25,0.4078167115902965,0.0012,1,0.002443078928,1.0
ARDÓN,6,LEÓN,24,550,-5.558092,42.435878,289590.48,4701343.63,"42.435878, -5.558092",0,0,0,0.12,0.4156398104265405,0.0012,1,0.003087628439,0.9906
BALBOA,9,LEÓN,24,263,-6.920859,42.706199,178878.45,4735647.75,"42.706199, -6.920859",0,0,0,0.98,0.4156398104265405,0.0012,1,0.001341078679,0.9357
BEMBIBRE,14,LEÓN,24,8158,-6.416706,42.615067,219763.73,4723730.99,"42.615067, -6.416706",0,0,0,0.87,13.51563981042654,0.0412,1,0.03545910695,1.0
BENAVIDES,15,LEÓN,24,2342,-5.896421,42.501845,262010.29,4709563.84,"42.501845, -5.896421",0,0,0,0.14,9.065639810426536,0.0276,0,0.008718027626,1.0
BERCIANOS DEL REAL CAMINO,18,LEÓN,24,186,-5.14673,42.38714,323290.82,4694993.66,"42.38714, -5.14673",0,0,0,0.18,0.4156398104265405,0.0012,1,0.001428799467,1.0
CABAÑAS RARAS,27,LEÓN,24,1302,-6.636463,42.619909,201760.58,4725020.88,"42.619909, -6.636463",0,0,0,0.92,0.4156398104265405,0.0012,1,0.01885862945,0.9859
CABREROS DEL RÍO,28,LEÓN,24,408,-5.544824,42.402403,290570.43,4697593.58,"42.402403, -5.544824",0,0,0,0.13,0.4156398104265405,0.0012,1,0.00438461995,1.0
CAMPONARAYA,34,LEÓN,24,4104,-6.671347,42.580365,198708.53,4720752.83,"42.580365, -6.671347",0,0,0,0.93,0.4156398104265405,0.0012,1,0.03858072298,1.0
CEA,51,LEÓN,24,378,-5.01311,42.463411,334491.06,4703193.68,"42.463411, -5.01311",0,0,0,0.19,0.4156398104265405,0.0012,1,0.0008604857577,1.0
CEBRONES DEL RÍO,53,LEÓN,24,435,-5.825095,42.257875,266970.16,4682273.42,"42.257875, -5.825095",0,0,0,0.18,0.4156398104265405,0.0012,1,0.005564494819,1.0
CHOZAS DE ABAJO,65,LEÓN,24,2678,-5.687187,42.506675,279220.52,4709533.76,"42.506675, -5.687187",0,0,0,0.11,0.4156398104265405,0.0012,1,0.007265298851,0.8952
CIMANES DEL TEJAR,55,LEÓN,24,738,-5.806214,42.618004,269850.49,4722214.0,"42.618004, -5.806214",0,0,0,0.12,0.4156398104265405,0.0012,1,0.002693750753,0.9454
CUADROS,61,LEÓN,24,2090,-5.638963,42.71095,283890.77,4732094.13,"42.71095, -5.638963",0,0,0,0.1,0.4156398104265405,0.0012,1,0.005166546303,1.0
CUBILLAS DE LOS OTEROS,62,LEÓN,24,137,-5.507514,42.371707,293540.41,4694093.52,"42.371707, -5.507514",0,0,0,0.13,0.4156398104265405,0.0012,1,0.002974400392,1.0
CUBILLAS DE RUEDA,63,LEÓN,24,385,-5.173623,42.655444,321841.24,4724843.98,"42.655444, -5.173623",0,0,0,0.15,0.4156398104265405,0.0012,1,0.001179775776,0.9423
FABERO,70,LEÓN,24,4061,-6.628094,42.763088,203130.67,4740892.95,"42.763088, -6.628094",0,0,0,0.92,30.115639810426536,0.0919,1,0.02068321701,0.991
FOLGOSO DE LA RIBERA,71,LEÓN,24,982,-6.319423,42.643089,227865.81,4726525.06,"42.643089, -6.319423",0,0,0,0.85,0.4156398104265405,0.0012,1,0.003924538766,0.9998
GORDONCILLO,78,LEÓN,24,308,-5.401977,42.1355,301490.66,4667613.28,"42.1355, -5.401977",0,0,0,0.2,0.6823064770932069,0.002,1,0.00375891985,1.0
GRADEFES,79,LEÓN,24,925,-5.226177,42.623816,317441.11,4721443.93,"42.623816, -5.226177",0,0,0,0.14,9.715639810426527,0.0296,1,0.001195997012,0.8536
GRAJAL DE CAMPOS,80,LEÓN,24,209,-5.020685,42.320539,333490.91,4687343.62,"42.320539, -5.020685",0,0,0,0.21,0.4156398104265405,0.0012,1,0.002329466383,1.0
HOSPITAL DE ÓRBIGO,82,LEÓN,24,956,-5.882493,42.463565,263010.26,4705273.78,"42.463565, -5.882493",0,0,0,0.14,35.66563981042652,0.1088,1,0.05757625817,1.0
JOARILLA DE LAS MATAS,86,LEÓN,24,245,-5.17853,42.287929,320390.75,4684043.55,"42.287929, -5.17853",0,0,0,0.19,0.4156398104265405,0.0012,1,0.00121732042,1.0
LA BAÑEZA,10,LEÓN,24,10023,-5.899119,42.29655,261010.11,4686773.5,"42.29655, -5.899119",0,0,0,0.18,124.89897314375985,0.3813,0,0.1399954036,1.0
LA POLA DE GORDÓN,114,LEÓN,24,2842,-5.669558,42.854769,281890.92,4748144.52,"42.854769, -5.669558",0,0,0,0.77,0.4156398104265405,0.0012,0,0.004956796458,0.9839
LAS OMAÑAS,104,LEÓN,24,259,-5.869651,42.682437,264890.44,4729544.14,"42.682437, -5.869651",0,0,0,0.14,0.4156398104265405,0.0012,0,0.00210946919,1.0
LOS BARRIOS DE LUNA,12,LEÓN,24,294,-5.861891,42.84541,266140.6,4747621.48,"42.84541, -5.861891",0,0,0,0.79,0.4156398104265405,0.0012,0,0.0008101525994,0.8894
LUCILLO,90,LEÓN,24,356,-6.303396,42.409487,228167.76,4700530.76,"42.409487, -6.303396",0,0,0,0.86,0.4156398104265405,0.0012,1,0.0005373629041,0.9183
LUYEGO,91,LEÓN,24,554,-6.236308,42.376635,233549.82,4696669.7,"42.376635, -6.236308",0,0,0,0.85,0.4156398104265405,0.0012,1,0.001115564901,1.0
MANSILLA DE LAS MULAS,94,LEÓN,24,1663,-5.416444,42.498659,301440.63,4707973.72,"42.498659, -5.416444",0,0,0,0.11,22.815639810426536,0.0696,1,0.01279217934,1.0
MANSILLA MAYOR,95,LEÓN,24,324,-5.443959,42.508341,299210.64,4709113.73,"42.508341, -5.443959",0,0,0,0.11,0.4156398104265405,0.0012,1,0.00608724208,1.0
MARAÑA,96,LEÓN,24,111,-5.175805,43.048919,322791.5,4768544.6,"43.048919, -5.175805",0,0,0,0.85,0.4156398104265405,0.0012,1,0.0009182313756,0.9948
OENCIA,103,LEÓN,24,277,-6.970608,42.546796,173971.26,4718134.56,"42.546796, -6.970608",0,0,0,0.99,0.4156398104265405,0.0012,1,0.000734330101,0.6906
PALACIOS DEL SIL,109,LEÓN,24,844,-6.433875,42.87538,219532.87,4752698.18,"42.87538, -6.433875",0,0,0,0.89,0.4156398104265405,0.0012,1,0.00124922549,0.8105
PÁRAMO DEL SIL,110,LEÓN,24,1169,-6.490129,42.82003,214682.79,4746740.09,"42.82003, -6.490129",0,0,0,0.9,0.4156398104265405,0.0012,1,0.00169017622,0.9569
