AÑO;NOMBRE;T.RED;DESCRIPCIÓN;LONG.;IMD;ASV;ACV;MUERTOS;HERIDOS;IM;IP;IAT;IL;IG
2023;SO-910;CL;DE CRUCE CON N-122 A CRUCE CON N-234 (ABEJAR);12.364;293.0;6.0;0.0;0.0;0.0;0.0;0.0;453.7658092575153;0.0;0.0
2023;VA-104;CL;DE QUINTANILLA DE ONÉSIMO (N-122) A VILLAFUERTE;16.2;124.0;1.0;1.0;0.0;2.0;0.0;136.3862020807079;272.7724041614158;0.0;0.0
2023;VA-904;CL;DE TRIGUEROS DEL VALLE (VA-900) A LÍMITE DE PROVINCIA DE PALENCIA;8.7;64.0;2.0;0.0;0.0;0.0;0.0;0.0;984.0969925995907;0.0;0.0
2023;ZA-123;CL;DE CRUCE CON N-630 A TÁBARA;20.08;544.0;12.0;0.0;0.0;0.0;0.0;0.0;300.9717776757595;0.0;0.0
2023;ZA-513;CL;DE FUENTES DE ROPEL A LÍMITE DE PROVINCIA DE LEÓN;8.253;974.0;2.0;1.0;0.0;1.0;0.0;34.08288377242773;102.24865131728318;0.0;0.0
2023;ZA-711;CP;DE CRUCE CON CL-612 A CRUCE CON N-122;9.839;601.0;3.0;0.0;0.0;0.0;0.0;0.0;138.99620972857315;0.0;0.0
2023;AV-100;CP;DE EL BARCO DE ÁVILA (N-110) A LÍMITE DE PROVINCIA DE SALAMANCA;17.28;1298.5775462962963;38.0;0.0;0.0;0.0;0.0;0.0;463.9584670240848;0.0;0.0
2023;AV-413;CL;DE ARÉVALO A LÍMITE DE PROVINCIA DE SEGOVIA;0.835;379.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2023;AV-804;CP;DE ÁVILA (CRUCE CON N-501) A ARÉVALO (POLÍGONO INDUSTRIAL, CRUCE CON CL-605);44.26;1290.6326253953907;11.0;0.0;0.0;0.0;0.0;0.0;52.75769002084936;0.0;0.0
2023;AV-810;CL;DE ARÉVALO (POLÍGONO INDUSTRIAL, CL-605) A RAMAL A-6_x000D_;1.403;4796.0;2.0;0.0;0.0;0.0;0.0;0.0;81.43297210128362;0.0;0.0
2023;AV-900;CP;DE ÁVILA (CRUCE CON N-403) A BURGOHONDO (CRUCE CON AV-902);33.919;1183.9097850762107;23.0;9.0;0.0;10.0;0.0;61.402774464169475;218.32097587260256;0.0;0.0
2023;AV-901;CL;DE BURGOHONDO (CRUCE CON AV-902) A LÍMITE DE C.A. DE CASTILLA LA MANCHA;43.782;93.93707459686628;3.0;0.0;0.0;0.0;0.0;0.0;199.8461391236425;0.0;0.0
2023;AV-922;CP;DE MOMBELTRÁN (N-502) A LÍMITE DE C.A. DE CASTILLA LA MANCHA;35.75;344.3639160839161;3.0;5.0;0.0;10.0;0.0;111.27137527291669;178.0342004366667;0.0;0.0
2023;BU-642;CP;DE CILLERUELO DE BEZANA (N-623)  A LÍMITE DE C.A. DE CANTABRIA;10.0;350.0;3.0;1.0;0.0;2.0;0.0;78.27788649706459;313.11154598825834;0.0;0.0
2023;BU-812;CL;DE CRUCE CON BU-811 A CRUCE CON BU-811 (A VILLAGALIJO);2.4;232.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2023;BU-905;CL;DE COVARRUBIAS A HORTIGÜELA (N-234);13.2;133.0;4.0;0.0;0.0;0.0;0.0;0.0;624.2255701520302;0.0;0.0
2023;CL-101;B;DE ÁGREDA (N-122) A LÍMITE DE C.A. DE CASTILLA LA MANCHA;101.12;2150.637757120253;109.0;12.0;0.0;18.0;0.0;15.117641927384527;152.43622276779396;0.0;0.0
2023;CL-619;B;DE MAGAZ DE PISUERGA (N-620) A ARANDA DE DUERO;76.3;1794.3384141546526;121.0;8.0;0.0;12.0;0.0;16.00914837500871;258.1475175470154;0.0;0.0
2023;CL-623;B;DE SAN ANDRÉS DEL RABANEDO A LA MAGDALENA (CL-626);27.0;4878.020740740741;82.0;11.0;1.0;15.0;2.0801743112850724;22.881917424135793;193.4562109495117;6.25;9.090909090909092
2023;CL-624;B;DE PUENTE DE VILLARENTE (N-601) A BOÑAR;37.4;2173.802139037433;64.0;6.0;0.0;9.0;0.0;20.219330535944025;235.8921895860136;0.0;0.0
2023;CL-632;B;DE BRIVIESCA (N-1)  A CORNUDILLA (N-232);20.1;1689.0;11.0;1.0;0.0;1.0;0.0;8.070146683389625;96.8417602006755;0.0;0.0
2023;LE-114;CL;DE LA BAÑEZA (LE-125) A SAN ADRIÁN DEL VALLE (N-VI);28.2;896.0;28.0;3.0;0.0;6.0;0.0;32.52904192863388;336.1334332625501;0.0;0.0
2023;LE-126;CP;DE CASTROCONTRIGO (LE-125) A LÍMITE DE C.A. DE GALICIA;66.63;285.34834158787334;33.0;3.0;0.0;3.0;0.0;43.22979978809905;518.7575974571886;0.0;0.0
2023;LE-164;CL;DE PUENTE DE DOMINGO FLOREZ (N-536) A  LE-127 (LLAMAS DE CABRERA);42.94;261.44434094084767;8.0;0.0;0.0;0.0;0.0;0.0;195.23417277438475;0.0;0.0
2023;LE-331;CP;DE BOÑAR A LÍMITE DE C.A. DE ASTURIAS;41.6;964.0096153846152;12.0;5.0;0.0;5.0;0.0;34.15878725920958;116.13987668131259;0.0;0.0
2023;LE-443;CL;DE VILLADANGOS (LE-413) A BENAVIDES DE ÓRBIGO (LE-420);10.5;2032.0;14.0;2.0;0.0;3.0;0.0;25.681721291687854;205.45377033350283;0.0;0.0
2023;LE-510;CL;DE VALENCIA DE DON JUAN (CL-621) A LÍMITE DE PROVINCIA DE ZAMORA;31.78;861.3746066708621;10.0;2.0;0.0;3.0;0.0;20.016639782609683;120.09983869565811;0.0;0.0
2023;P-114;CL;DE CEVICO NAVERO (CL-619) A HÉRMEDES DE CERRATO (P-110);5.9;32.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2023;P-420;CL;DE AMUSCO (N-611) A CRUCE CON P-430;5.525;27.0;2.0;0.0;0.0;0.0;0.0;0.0;3673.170474137436;0.0;0.0
2023;SA-113;CL;DE MACOTERA, CRUCE CON SA-105, A ANAYA DE ALBA, CRUCE CON CL-510;22.675;335.0;2.0;0.0;0.0;0.0;0.0;0.0;72.13483262577329;0.0;0.0
2023;SA-203;CL;DE CRUCE CON SA-202 A LA PEÑA DE FRANCIA;12.01;255.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2023;SA-220;CP;DE BÉJAR, CRUCE CON N-630 A CIUDAD RODRIGO;94.215;636.889242689593;24.0;8.0;1.0;8.0;4.565866083750458;36.52692867000366;146.10771468001465;11.11111111111111;12.5
2023;SG-145;CP;DE AYLLÓN (N-110) A LÍMITE DE C.A. DE CASTILLA LA MANCHA;21.3;257.0;8.0;0.0;0.0;0.0;0.0;0.0;400.3910819893331;0.0;0.0
2023;SG-612;CL;DE CRUCE CON N-110 A LÍMITE DE C.A. DE MADRID;11.53;207.61838681699913;3.0;0.0;0.0;0.0;0.0;0.0;343.34701075225496;0.0;0.0
2023;VA-200;CL;DE ALDEAMAYOR DE SAN MARTÍN (CL-601) A CRUCE CON CL-600;6.7;1146.0;14.0;2.0;0.0;2.0;0.0;71.36375784421506;570.9100627537205;0.0;0.0
2023;VA-514;CP;DE ZARATÁN (N-601) A TORRELOBATÓN (VA-515);24.2;781.5041322314049;9.0;1.0;0.0;3.0;0.0;14.486400601707135;144.86400601707138;0.0;0.0
2023;ZA-110;CP;DE LÍMITE DE PROVINCIA DE LEÓN A CAMARZANA DE TERA (N-525);17.736;797.2821380243572;16.0;1.0;0.0;1.0;0.0;19.37489782889816;329.3732630912687;0.0;0.0
2023;ZA-320;CL;DE PUEBLICA DE CAMPEÁN (ZA-320) A CARBELLINO;35.09;277.65597036192645;6.0;0.0;0.0;0.0;0.0;0.0;168.72055731369562;0.0;0.0
2023;ZA-714;CL;DE RIEGO DEL CAMINO A LÍMITE DE PROVINCIA DE VALLADOLID;38.735;283.77627468697557;4.0;1.0;0.0;1.0;0.0;24.924559527139827;124.62279763569914;0.0;0.0
2023;AV-562;CP;DE CRUCE CON AV-502 (CEBREROS) A LÍMITE DE C.A. DE MADRID;14.155;555.0;11.0;17.0;0.0;17.0;0.0;592.8614339408724;976.4776559026135;0.0;0.0
2023;AV-911;CL;DE CRUCE CON AV-915 A LÍMITE DE C.A. DE MADRID;1.598;438.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2023;AV-927;CP;DE AV-925 (RAMACASTAÑAS) A CL-501;0.425;894.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2023;BU-530;CP;DE TRESPADERNE (N-629) A LÍMITE DE C.A. DEL PAÍS VASCO;23.4;1387.6410256410254;27.0;1.0;0.0;1.0;0.0;8.437507013677704;236.25019638297576;0.0;0.0
2023;BU-550;CP;DE TRESPADERNE (N-629) A LÍMITE DE C.A. DEL PAÍS VASCO;44.5;1070.561797752809;20.0;3.0;0.0;5.0;0.0;17.25268279217418;132.2705680733354;0.0;0.0
2023;BU-554;CP;DE CL-629 A LÍMITE DE C.A. DEL PAÍS VASCO;12.1;541.0;4.0;1.0;0.0;1.0;0.0;41.85279826762898;209.26399133814488;0.0;0.0
2023;BU-733;CP;DE MIRANDA DE EBRO A LÍMITE DE C.A. DE LA RIOJA;5.7;1023.0;6.0;1.0;0.0;1.0;0.0;46.98472033402378;328.8930423381664;0.0;0.0
2023;BU-744;CL;DE CRUCE CON CL-127 (CUCHO) A LÍMITE DE C.A. DEL PAÍS VASCO;3.8;618.0;4.0;0.0;0.0;0.0;0.0;0.0;466.6540670068575;0.0;0.0
2023;BU-822;CL;DE QUINTANAR DE LA SIERRA (CL-117) A LÍMITE DE C.A. DE LA RIOJA;17.4;305.0;4.0;3.0;0.0;5.0;0.0;154.87428080255853;361.37332187263655;0.0;0.0
2023;BU-922;CL;DE CALERUEGA (BU-910) A BU-925 POR PEÑALBA DE CASTRO;13.55;261.0;2.0;0.0;0.0;0.0;0.0;0.0;154.93777989267846;0.0;0.0
2023;LE-213;CL;DE VILLARENTE (N-601) A GRADEFES;23.4;1195.0;11.0;2.0;0.0;3.0;0.0;19.59536550010557;127.3698757506862;0.0;0.0
2023;LE-215;CP;DE BOCA DE HUÉRGANO A LÍMITE DE PROVINCIA DE PALENCIA;18.0;389.2388888888889;5.0;0.0;0.0;0.0;0.0;0.0;195.51874936823003;0.0;0.0
2023;LE-481;CP;DE PUENTE ORUGO A LÍMITE DE C.A. DE ASTURIAS;15.9;368.0;3.0;0.0;0.0;0.0;0.0;0.0;140.4699562857496;0.0;0.0
2023;LE-512;CP;DE MANSILLA DE LAS MULAS A LÍMITE DE PROVINCIA DE ZAMORA;58.8;1674.8384353741494;29.0;0.0;0.0;0.0;0.0;0.0;80.67795634112393;0.0;0.0
2023;LE-716;CL;DE VEGA DE ESPINAREDA A TORENO;13.9;730.0;9.0;0.0;0.0;0.0;0.0;0.0;243.00319549202072;0.0;0.0
2023;P-140;CP;DE LÍMITE DE PROVINCIA DE BURGOS A LÍMITE DE PROVINCIA DE VALLADOLID;4.425;296.0;3.0;0.0;0.0;0.0;0.0;0.0;627.5139778738571;0.0;0.0
2023;P-225;CP;DE CANTORAL DE LA PEÑA (CL-626) A CRUCE CON CL-615;39.971;599.2152560606439;21.0;0.0;0.0;0.0;0.0;0.0;240.21413250558945;0.0;0.0
2023;P-410;CL;DE VILLALOBÓN (P-405) A VALDEOLMILLOS;9.765;54.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2023;P-963;CL;DE CRUCE CON CL-615 A CERVATOS DE LA CUEZA (N-120);15.703;188.0;2.0;1.0;0.0;1.0;0.0;92.80399149224976;278.4119744767493;0.0;0.0
2023;P-984;CL;DE CRUCE CON N-611 A SAN CEBRIÁN DE CAMPOS;9.765;501.0;7.0;1.0;0.0;1.0;0.0;56.001177928776556;448.00942343021245;0.0;0.0
2023;P-990;CP;DE LA VENTA, CRUCE CON CL-615, A MONZÓN DE CAMPOS;5.988;220.0;5.0;0.0;0.0;0.0;0.0;0.0;1039.8547198173849;0.0;0.0
2023;SA-810;CP;DE ENCINAS DE ABAJO, CRUCE CON N-501, A CANTALAPIEDRA;31.145;1070.968373735752;8.0;2.0;0.0;7.0;0.0;16.427525496823506;82.13762748411753;0.0;0.0
2023;SG-115;CL;DE CEREZO DE ARRIBA A LA PINILLA;8.3;78.0;1.0;0.0;0.0;0.0;0.0;0.0;423.1890681799908;0.0;0.0
2023;SG-203;CL;DE CRUCE CON SG-223 A LÍMITE DE PROVINCIA DE VALLADOLID;5.3;555.0;3.0;0.0;0.0;0.0;0.0;0.0;279.4213184494911;0.0;0.0
2023;SG-231;CL;DE CRUCE CON CL-603 A CRUCE CON SG-205;9.5;373.0;9.0;0.0;0.0;0.0;0.0;0.0;695.8525256547296;0.0;0.0
2023;SG-234;CP;DE CASTILLEJO DE MESLEÓN A CRUCE CON SG-232;6.2;515.0;6.0;0.0;0.0;0.0;0.0;0.0;514.8248094075653;0.0;0.0
2023;VA-103;CP;DE CRUCE CON N-620 A CRUCE CON VA-140 (ESGUEVILLAS);13.5;561.1851851851852;9.0;0.0;0.0;0.0;0.0;0.0;325.46903704560907;0.0;0.0
2023;VA-113;CP;DE VALLADOLID (VA-20) A A-62 POR SANTOVENIA_x000D_;12.09;5176.515301902398;12.0;2.0;0.0;2.0;0.0;8.755346296261205;61.28742407382844;0.0;0.0
